id,source,type_of_material,web_url,snippet,headline,created_time,news_desk
1,The New York Times,News,https://www.nytimes.com/2022/01/01/nyregion/eric-adams-inaguration-nyc-mayor.html,"Eric Adams, the city’s second Black mayor, faces difficult decisions over how to lead New York City through the next wave of the pandemic.",Eric Adams Takes Office as New York City’s 110th Mayor at a Perilous Moment,1/1/2022 5:22,Business
2,The New York Times,News,https://www.nytimes.com/2022/01/01/business/readers-customer-service.html,"Plus, some small glimmers of hope.",Here’s What Readers Told Us About Customer Service Nightmares,1/1/2022 10:00,Business
3,The New York Times,News,https://www.nytimes.com/2022/01/01/us/omicron-covid-pandemic-despair.html,The highly contagious variant has already contributed to flight cancellations and staffing shortages.,"With Omicron’s Rise, Americans Brace for Returning to School and Work",1/1/2022 10:00,Business
4,The New York Times,News,https://www.nytimes.com/2022/01/01/us/nashville-bombing-recovery.html,"Since the explosion last Christmas, the city has grappled with how rebuilding will fit into its larger ambitions of transforming downtown. The hope is to draw more than just tourists.",Nashville Finds Opportunity in the Hole a Bomber Left in the Heart of the City,1/1/2022 10:00,Business
5,The New York Times,News,https://www.nytimes.com/2022/01/01/us/politics/afghan-war-isis-attack.html,"The suicide bomber who killed nearly 200 people, including 13 U.S. troops, had been freed from prison by the Taliban days before the attack.",U.S. Military Focusing on ISIS Cell Behind Attack at Kabul Airport,1/1/2022 10:00,Business
6,The New York Times,News,https://www.nytimes.com/2022/01/01/world/asia/south-korea-men-anti-feminists.html,"After slow gains in women’s rights, the country is facing a type of political correctness enforced by young men angry at feminists, saying they undermine opportunity.",The New Political Cry in South Korea: ‘Out With Man Haters’,1/1/2022 10:00,Business
7,The New York Times,News,https://www.nytimes.com/2022/01/01/style/gummies-edibles-marijuana-diet.html,An edibles company says one of its products will lead not to the “the munchies” but to weight loss. There’s just one problem: the science.,Counterculture to Counterintuitive: Cannabis to Help You Diet?,1/1/2022 10:00,Business
8,The New York Times,News,https://www.nytimes.com/2022/01/01/business/customer-service-pandemic-rage.html,"In our anger-filled age, when people need to shop or travel or cope with mild disappointment they’re “devolving into children.”",A Nation on Hold Wants to Speak With a Manager,1/1/2022 10:00,Business
9,The New York Times,News,https://www.nytimes.com/2022/01/01/world/europe/turkey-kurdish-art-exhibit.html,A recent art show in a major Kurdish city in Turkey aimed to uplift a region crushed by years of conflict. It ended up serving as a reminder of how toxic the subject of Kurds remains in Turkey.,An Exhibit Meant to Showcase Kurdish Suffering Provoked a Furor Instead,1/1/2022 10:00,Financial 
10,The New York Times,Op-Ed,https://www.nytimes.com/2022/01/01/opinion/trigger-warning-its-my-brothers-turn-again.html,Covid delayed Kevin’s annual column from the Republican point of view. But he’s back.,Trigger Warning: It’s My Brother’s Turn Again,1/1/2022 14:00,Business
