priceUsd,time,circulatingSupply,date
46726.7949738363059578,1641013200000,18916350.0000000000000000,2022-01-01T05:00:00.000Z
47177.3225171623168331,1641016800000,18916406.0000000000000000,2022-01-01T06:00:00.000Z
47029.0418653717602951,1641020400000,18916406.0000000000000000,2022-01-01T07:00:00.000Z
47165.1535241029970059,1641024000000,18916531.0000000000000000,2022-01-01T08:00:00.000Z
47108.4444149163578830,1641027600000,18916531.0000000000000000,2022-01-01T09:00:00.000Z
47081.9098056904986767,1641031200000,18916662.0000000000000000,2022-01-01T10:00:00.000Z
46955.0502313841820339,1641034800000,18916662.0000000000000000,2022-01-01T11:00:00.000Z
46839.1598933240283644,1641038400000,18916750.0000000000000000,2022-01-01T12:00:00.000Z
47125.1693195997116666,1641042000000,18916750.0000000000000000,2022-01-01T13:00:00.000Z
47045.8792595356342681,1641045600000,18916818.0000000000000000,2022-01-01T14:00:00.000Z
47028.2321794460115653,1641049200000,18916818.0000000000000000,2022-01-01T15:00:00.000Z
47284.5349470614876632,1641052800000,18916900.0000000000000000,2022-01-01T16:00:00.000Z
47365.9906453275198233,1641056400000,18916900.0000000000000000,2022-01-01T17:00:00.000Z
47847.9618929894932792,1641060000000,18917018.0000000000000000,2022-01-01T18:00:00.000Z
47635.3827899675310359,1641063600000,18917018.0000000000000000,2022-01-01T19:00:00.000Z
47424.8276830438497907,1641067200000,18917081.0000000000000000,2022-01-01T20:00:00.000Z
47500.8798810982700050,1641070800000,18917081.0000000000000000,2022-01-01T21:00:00.000Z
47408.8076602133862009,1641074400000,18917193.0000000000000000,2022-01-01T22:00:00.000Z
47534.5371161935864953,1641078000000,18917193.0000000000000000,2022-01-01T23:00:00.000Z
47791.3220262856767347,1641081600000,18917268.0000000000000000,2022-01-02T00:00:00.000Z
47734.6227214805604889,1641085200000,18917268.0000000000000000,2022-01-02T01:00:00.000Z
47446.2552256465498205,1641088800000,18917318.0000000000000000,2022-01-02T02:00:00.000Z
47467.5882156196646355,1641092400000,18917318.0000000000000000,2022-01-02T03:00:00.000Z
47430.1972864427318319,1641096000000,18917450.0000000000000000,2022-01-02T04:00:00.000Z
47038.9671480125226063,1641099600000,18917450.0000000000000000,2022-01-02T05:00:00.000Z
47162.4868044273858164,1641103200000,18917531.0000000000000000,2022-01-02T06:00:00.000Z
47260.1063500704250082,1641106800000,18917531.0000000000000000,2022-01-02T07:00:00.000Z
47268.7805903663287349,1641110400000,18917593.0000000000000000,2022-01-02T08:00:00.000Z
47335.2690505910375898,1641114000000,18917593.0000000000000000,2022-01-02T09:00:00.000Z
47392.6555289805741776,1641117600000,18917681.0000000000000000,2022-01-02T10:00:00.000Z
47320.5711254581719128,1641121200000,18917681.0000000000000000,2022-01-02T11:00:00.000Z
47340.5516936628774598,1641124800000,18917768.0000000000000000,2022-01-02T12:00:00.000Z
47436.5339927373063747,1641128400000,18917768.0000000000000000,2022-01-02T13:00:00.000Z
47272.1067634218800086,1641132000000,18917900.0000000000000000,2022-01-02T14:00:00.000Z
47240.8338375940131175,1641135600000,18917900.0000000000000000,2022-01-02T15:00:00.000Z
