,Tweet,Create_Date,Geo,id
0,Tell BP: Stop burning endangered sea turtles alive. Take action: http://bit.ly/aFrbdv @CREDOmobile pls RT,2010-06-24 05:30:44+00:00,,16907027553
1,RT @mattyk66: @ThatKevinSmith happy 40th Kevin! Your my hero!,2010-08-02 20:10:50+00:00,,20164520305
2,i have been stuck on another island for almost one month. how do I get myself into these things?,2010-09-01 16:29:00+00:00,,22721797342
3,We still believe @BatemanJason will star in @planB safter we do the next revision. We loved @TheSwitch He rocks.,2010-09-02 05:57:18+00:00,,22775473003
4,We were just sitting in rush hour traffic... in #Hawaii.. How crazy is that?,2010-09-02 17:54:08+00:00,,22818278646
5,"spending another labor day weekend in #Hawaii Lucky me. Baby watch 2010 continues. ""Any day now"" Whatevs.",2010-09-03 19:04:36+00:00,,22912572817
6,I'm loving my Tammy Wynette bio for beach reading. Happy Labor Day weekend to you!,2010-09-03 19:05:35+00:00,,22912634547
7,The actual sailboat is for sale in Spain! Let's buy her back! :),2010-09-24 19:38:07+00:00,,25432968981
8,Just finished going through another draft of @PlanB & getting ready to send to a short list of friends before it goes back to publisher,2010-10-26 18:45:00+00:00,,28815996836
9,"RT @CaliforniaWatch: RT @KQED_CapNotes Brown says there's no 'plan B' for going around GOP to have #cabudget election, just more cuts.",2011-02-18 23:41:44+00:00,,3.87E+16
10,Thanks @RegalaPlanB for your interest Our book and film are coming soon!,2011-03-20 13:36:07+00:00,,4.95E+16
11,A ginormous thanks to Pam for the Plan B intros to David and Leslie this week. You rock! xo It's all happening...,2011-03-24 04:00:29+00:00,,5.08E+16
12,Trying to work on a funny name for a dog in my comedy....hmmm,2011-03-30 19:52:07+00:00,,5.32E+16
13,Excited to finally see @ThatKevinSmith #NABShow this week,2011-04-10 17:17:44+00:00,,5.71E+16
14,RT @ThatKevinSmith VEGAS! TECHIES! BROADCASTERS! I'm gonna be @nabshow this week! Tomorrow & Wednesday morning! WATCH ME SWEAT & SPEAK!,2011-04-12 20:01:15+00:00,,5.79E+16
15,Check out my new friend's great #CA #fishing blog & enter a contest for shades! @socalsalty I want some @costasunglasses! #salty500,2011-04-26 18:42:36+00:00,,6.29E+16
16,I just completed the most current draft of the memoir.  :)Should be coming real real soon. Waiting for my editor to get back from #Ecuador,2011-05-28 00:26:18+00:00,,7.43E+16
17,RT @surferdude4u:  back in school for my 1600 ton captains license. We're living the dream in Hwood! :),2011-06-13 16:23:55+00:00,,8.03E+16
18,the current draft is looking good.. won't be long now.,2011-07-13 23:16:23+00:00,,9.13E+16
19,"Have been tweeting for 4 years, 4 months, 19 days. How about you? (Find out at http://t.co/vikB7Fg)",2011-08-05 01:09:44+00:00,,9.93E+16
20,"Someone major has now offered to develop the project if we include something like a treasure hunt, but not a treasure hunt. Done and done!",2011-08-05 01:11:07+00:00,,9.93E+16
21,testing,2011-08-12 00:49:25+00:00,,1.02E+17
22,OK halfway through @WorkPlayEveryWh edits on the book. Exciting!,2011-08-12 00:49:58+00:00,,1.02E+17
23,"My #Pieces #horoscope says ""You'll have the satisfaction of an accomplishment like..finishing a long novel."" Just completed manuscript :)",2011-08-18 16:33:13+00:00,,1.04E+17
24,"my editor is on chapter 16 ""lightning strikes"" :) http://ow.ly/6imBZ",2011-09-01 05:09:28+00:00,,1.09E+17
25,"Happy Halloween
 http://t.co/eAeT0h8N",2011-11-01 03:22:01+00:00,,1.31E+17
26,#Fairwinds @TOMSshoes  (@ Santa Monica Pier) http://t.co/JGSqfpq9,2012-05-09 20:28:49+00:00,,2.00E+17
27,RT @meganeellison: RT @wired: Solar Power Allows Luxury Yachts To Cruise In Silence http://t.co/6f3mx7G9,2012-08-20 23:51:44+00:00,,2.38E+17
28,@lacostafilmfestival @BecomingHenry @SnowLizard_Gear come support indie #film have a happy weekend! http://t.co/qwyFihz7uN,2015-09-11 19:20:18+00:00,,6.42E+17
29,The long awaited #book @ our #sailing trip w/ our #dog is almost here. Check out the new site https://t.co/h3HSQRCaoS read Chapter 1,2016-08-03 16:25:37+00:00,,7.61E+17
30,"Just put #ISBN # on the #book cover, getting ready to submit the manuscript. Exciting! Read Chapter 1 here https://t.co/h3HSQRkzxk",2016-09-02 18:33:46+00:00,,7.72E+17
31,"YAY! The manuscript is submitted and the #book will be out in a few weeks, gulp. Check out Chapter 1 https://t.co/NzaGzpuk18",2016-09-21 17:30:37+00:00,,7.79E+17
32,Celebrating 25 years of love #keylargo #chapter1 #my1stbook #sailing #comingsoon https://t.co/kr73Aoe35h,2016-09-29 00:32:35+00:00,,7.81E+17
33,"Want to #sail away? Check out this new #Bali 4.0 #catamaran listing from @HaydenHouseryachtbroker
#FLIBS #boatpornhttp://ow.ly/VBJf305MCZH https://t.co/45mpdbmd06",2016-11-02 16:15:55+00:00,,7.94E+17
34,Looking 4 #dock in #FortLauderdale #FL #yacht 40 ft long 22 ft wide #caramaran Pls RT &amp; DM us. Thx!,2016-11-12 17:01:22+00:00,,7.97E+17
35,Recording the audiobook for #PlanB https://t.co/FveF2KDJMw,2016-12-17 04:31:47+00:00,,8.10E+17
36,"Just in time 4 #summer vacation reading, my 1st book @ #sailing: Plan B: The Trip Of A LifeTime  https://t.co/NdE9nIbjey via @amazon",2017-06-10 23:14:10+00:00,,8.74E+17
37,"@EWTinaJordan @years of reading books @EW reviews, excited 2 share my 1st book @PlanB my #sailing #memoir w/ our dog. Your readers will ❤️",2017-06-12 14:00:35+00:00,,8.74E+17
38,@leighnew consider adding my new #sailing with my #dog memoir @PlanB to your summer reading list!,2017-06-13 19:52:52+00:00,,8.75E+17
39,Dream of #sailing away? U will ❤ my fun new #memoir @planb Took r #dog 2 #Bahamas #Florida #DominicanRepublic #PuertoRico #VirginIslands,2017-06-15 00:27:39+00:00,,8.75E+17
40,Looking for more pictures and info? We even have a Google interactive map of our journey. Check out https://t.co/h3HSQRkzxk,2017-06-16 22:34:57+00:00,,8.76E+17
41,"“We have our ditch bag packed and we’re ready to leave the boat..” Read the whole book, available now on @amazon",2017-06-19 17:49:14+00:00,,8.77E+17
42,We got hit by lightning https://t.co/dan209N6sf  &amp; lived to tell the story! #boat #catamaran #yacht #dog #sailing,2017-06-22 00:54:34+00:00,,8.78E+17
43,We took r #dog #sailing 4 2 yrs Read how! https://t.co/i60YnGosFx #provo #bahamas #Puertorico #DominicanRepublic #virginislands @amazon,2017-06-23 00:01:53+00:00,,8.78E+17
44,RT @ComedyCentral: It’s been a few years but still weird when people take pic w  iPad. We didn’t have one back then- had disposable,2017-06-23 03:35:30+00:00,,8.78E+17
45,We want @broadcity #writers 4 r #raunchy #chick #sailing #comedy. They ROCK,2017-06-23 03:37:59+00:00,,8.78E+17
46,@SarahKSilverman l just heard my sister laugh... @Netflix #Silvermansarefunny!,2017-06-23 22:36:21+00:00,,8.78E+17
47,Hi All! Starting today I am sending invites to my first 50 page likes to download the book from my new gmail... https://t.co/Q6xG2R4fRJ,2017-06-23 23:04:37+00:00,,8.78E+17
48,RT @Variety: #RoughNight is a perfect example of why Hollywood needs (many) more women filmmakers. See our full review here: https://t.co/S…,2017-06-25 03:42:19+00:00,,8.79E+17
49,#roughnight is exactly what we are going for! #fearless #comedy,2017-06-25 03:45:31+00:00,,8.79E+17
50,Great night at the Unofficial Plan B book launch culminating at Barnes &amp; Noble. Thank you all for a memorable night!,2017-06-25 22:29:56+00:00,,8.79E+17
51,Check out my author page @ this: https://t.co/4O7cO5Qbcn via @amazon thanks Carol W. for the tips,2017-06-28 00:46:45+00:00,,8.80E+17
52,Love the new @starbucks @ASU benefits program. #proudalumni https://t.co/nbiNb8BwWK,2017-06-30 00:46:20+00:00,,8.81E+17
53,RT @JuddApatow: I will wear that at the Boston show. https://t.co/8FtfCacZm5 this former Boston gal loves your work!,2017-06-30 00:48:44+00:00,,8.81E+17
54,Happy Friday!  #FtL airport safe travels #happy4th https://t.co/1giuEKimGv,2017-06-30 22:42:56+00:00,,8.81E+17
55,Congrats Lorraine from #Tampa! Pass it on and don’t forget social love on @Amazon,2017-06-30 22:57:52+00:00,,8.81E+17
56,#howdy! From #planB in #Houston thx @SouthwestAir https://t.co/z9Gyx8GLF1,2017-07-01 03:12:09+00:00,,8.81E+17
57,"Wherever u r, whatever u r reading, have a #happy4th @BNBuzz https://t.co/fly4AdbWhc",2017-07-02 23:19:51+00:00,,8.82E+17
58,"Hand delivering a signed book for our talented former LA neighbor, Rose Masterpol - Abstract Painter at her... https://t.co/witw9ovza0",2017-07-03 20:41:30+00:00,,8.82E+17
59,The first book trailer is out! Whaddya think? https://t.co/4ASQOX4By5 https://t.co/aOthSzV5nS,2017-07-08 19:23:28+00:00,,8.84E+17
60,"""Stephanie's account is hilarious, heartfelt and humbling. I could not put this book down...""Susie T. of Austin,... https://t.co/1orS2vAwu6",2017-07-14 22:54:21+00:00,,8.86E+17
61,https://t.co/GqFmyNMO8d,2017-07-19 00:23:28+00:00,,8.87E+17
